ref_id,date,party,recommendation
No 305,5 avril 1981 1981,PRD,non
No 305,5 avril 1981 1981,PDC,non
No 305,5 avril 1981 1981,PS,oui
No 305,5 avril 1981 1981,UDC,non
No 305,5 avril 1981 1981,PLS,non
No 305,5 avril 1981 1981,AdI,oui
No 305,5 avril 1981 1981,PEV,non
No 305,5 avril 1981 1981,PCS,none
No 305,5 avril 1981 1981,PST,oui
No 305,5 avril 1981 1981,POCH,oui
No 305,5 avril 1981 1981,PES,none
No 305,5 avril 1981 1981,DS,non
No 305,5 avril 1981 1981,Rep.,non
No 305,5 avril 1981 1981,UDF,none
No 305,5 avril 1981 1981,PSL,none
No 305,5 avril 1981 1981,Lega,none
No 306,5 avril 1981 1981,PRD,oui
No 306,5 avril 1981 1981,PDC,oui
No 306,5 avril 1981 1981,PS,oui
No 306,5 avril 1981 1981,UDC,oui
No 306,5 avril 1981 1981,PLS,oui
No 306,5 avril 1981 1981,AdI,oui
No 306,5 avril 1981 1981,PEV,oui
No 306,5 avril 1981 1981,PCS,none
No 306,5 avril 1981 1981,PST,oui
No 306,5 avril 1981 1981,POCH,oui
No 306,5 avril 1981 1981,PES,none
No 306,5 avril 1981 1981,DS,non
No 306,5 avril 1981 1981,Rep.,non
No 306,5 avril 1981 1981,UDF,none
No 306,5 avril 1981 1981,PSL,none
No 306,5 avril 1981 1981,Lega,none
No 307,14 juin 1981 1981,PRD,non
No 307,14 juin 1981 1981,PDC,oui
No 307,14 juin 1981 1981,PS,oui
No 307,14 juin 1981 1981,UDC,oui
No 307,14 juin 1981 1981,PLS,non
No 307,14 juin 1981 1981,AdI,oui
No 307,14 juin 1981 1981,PEV,oui
No 307,14 juin 1981 1981,PCS,none
No 307,14 juin 1981 1981,PST,oui
No 307,14 juin 1981 1981,POCH,oui
No 307,14 juin 1981 1981,PES,none
No 307,14 juin 1981 1981,DS,oui
No 307,14 juin 1981 1981,Rep.,non
No 307,14 juin 1981 1981,UDF,none
No 307,14 juin 1981 1981,PSL,none
No 307,14 juin 1981 1981,Lega,none
No 308,29 novembre 1981 1981,PRD,oui
No 308,29 novembre 1981 1981,PDC,oui
No 308,29 novembre 1981 1981,PS,oui
No 308,29 novembre 1981 1981,UDC,oui
No 308,29 novembre 1981 1981,PLS,oui
No 308,29 novembre 1981 1981,AdI,non
No 308,29 novembre 1981 1981,PEV,oui
No 308,29 novembre 1981 1981,PCS,none
No 308,29 novembre 1981 1981,PST,non
No 308,29 novembre 1981 1981,POCH,non
No 308,29 novembre 1981 1981,PES,none
No 308,29 novembre 1981 1981,DS,liberté de vote
No 308,29 novembre 1981 1981,Rep.,non
No 308,29 novembre 1981 1981,UDF,none
No 308,29 novembre 1981 1981,PSL,none
No 308,29 novembre 1981 1981,Lega,none
No 309,6 juin 1982 1982,PRD,oui
No 309,6 juin 1982 1982,PDC,oui
No 309,6 juin 1982 1982,PS,non
No 309,6 juin 1982 1982,UDC,oui
No 309,6 juin 1982 1982,PLS,oui
No 309,6 juin 1982 1982,AdI,oui
No 309,6 juin 1982 1982,PEV,oui
No 309,6 juin 1982 1982,PCS,none
No 309,6 juin 1982 1982,PST,non
No 309,6 juin 1982 1982,POCH,non
No 309,6 juin 1982 1982,PES,none
No 309,6 juin 1982 1982,DS,oui
No 309,6 juin 1982 1982,Rep.,oui
No 309,6 juin 1982 1982,UDF,oui
No 309,6 juin 1982 1982,PSL,none
No 309,6 juin 1982 1982,Lega,none
No 310,6 juin 1982 1982,PRD,oui
No 310,6 juin 1982 1982,PDC,oui
No 310,6 juin 1982 1982,PS,oui
No 310,6 juin 1982 1982,UDC,oui
No 310,6 juin 1982 1982,PLS,oui
No 310,6 juin 1982 1982,AdI,oui
No 310,6 juin 1982 1982,PEV,oui
No 310,6 juin 1982 1982,PCS,none
No 310,6 juin 1982 1982,PST,oui
No 310,6 juin 1982 1982,POCH,oui
No 310,6 juin 1982 1982,PES,none
No 310,6 juin 1982 1982,DS,non
No 310,6 juin 1982 1982,Rep.,non
No 310,6 juin 1982 1982,UDF,non
No 310,6 juin 1982 1982,PSL,none
No 310,6 juin 1982 1982,Lega,none
No 311.1,28 novembre 1982 1982,PRD,non
No 311.1,28 novembre 1982 1982,PDC,liberté de vote
No 311.1,28 novembre 1982 1982,PS,oui
No 311.1,28 novembre 1982 1982,UDC,non
No 311.1,28 novembre 1982 1982,PLS,non
No 311.1,28 novembre 1982 1982,AdI,oui
No 311.1,28 novembre 1982 1982,PEV,oui
No 311.1,28 novembre 1982 1982,PCS,none
No 311.1,28 novembre 1982 1982,PST,oui
No 311.1,28 novembre 1982 1982,POCH,oui
No 311.1,28 novembre 1982 1982,PES,none
No 311.1,28 novembre 1982 1982,DS,oui
No 311.1,28 novembre 1982 1982,Rep.,non
No 311.1,28 novembre 1982 1982,UDF,non
No 311.1,28 novembre 1982 1982,PSL,none
No 311.1,28 novembre 1982 1982,Lega,none
No 311.2,28 novembre 1982 1982,PRD,oui
No 311.2,28 novembre 1982 1982,PDC,liberté de vote
No 311.2,28 novembre 1982 1982,PS,non
No 311.2,28 novembre 1982 1982,UDC,oui
No 311.2,28 novembre 1982 1982,PLS,non
No 311.2,28 novembre 1982 1982,AdI,non
No 311.2,28 novembre 1982 1982,PEV,blanc
No 311.2,28 novembre 1982 1982,PCS,none
No 311.2,28 novembre 1982 1982,PST,non
No 311.2,28 novembre 1982 1982,POCH,non
No 311.2,28 novembre 1982 1982,PES,none
No 311.2,28 novembre 1982 1982,DS,blanc
No 311.2,28 novembre 1982 1982,Rep.,non
No 311.2,28 novembre 1982 1982,UDF,non
No 311.2,28 novembre 1982 1982,PSL,none
No 311.2,28 novembre 1982 1982,Lega,none
No 312,27 février 1 1983,PRD,oui
No 312,27 février 1 1983,PDC,oui
No 312,27 février 1 1983,PS,liberté de vote
No 312,27 février 1 1983,UDC,oui
No 312,27 février 1 1983,PLS,oui
No 312,27 février 1 1983,AdI,non
No 312,27 février 1 1983,PEV,non
No 312,27 février 1 1983,PCS,none
No 312,27 février 1 1983,PST,non
No 312,27 février 1 1983,POCH,non
No 312,27 février 1 1983,PES,none
No 312,27 février 1 1983,DS,non
No 312,27 février 1 1983,Rep.,non
No 312,27 février 1 1983,UDF,none
No 312,27 février 1 1983,PSL,none
No 312,27 février 1 1983,Lega,none
No 313,27 février 1 1983,PRD,oui
No 313,27 février 1 1983,PDC,oui
No 313,27 février 1 1983,PS,liberté de vote
No 313,27 février 1 1983,UDC,oui
No 313,27 février 1 1983,PLS,oui
No 313,27 février 1 1983,AdI,non
No 313,27 février 1 1983,PEV,oui
No 313,27 février 1 1983,PCS,none
No 313,27 février 1 1983,PST,liberté de vote
No 313,27 février 1 1983,POCH,none
No 313,27 février 1 1983,PES,none
No 313,27 février 1 1983,DS,oui
No 313,27 février 1 1983,Rep.,non
No 313,27 février 1 1983,UDF,none
No 313,27 février 1 1983,PSL,none
No 313,27 février 1 1983,Lega,none
No 314,4 décembre 1983 1983,PRD,oui
No 314,4 décembre 1983 1983,PDC,oui
No 314,4 décembre 1983 1983,PS,oui
No 314,4 décembre 1983 1983,UDC,oui
No 314,4 décembre 1983 1983,PLS,oui
No 314,4 décembre 1983 1983,AdI,oui
No 314,4 décembre 1983 1983,PEV,oui
No 314,4 décembre 1983 1983,PCS,none
No 314,4 décembre 1983 1983,PST,oui
No 314,4 décembre 1983 1983,POCH,oui
No 314,4 décembre 1983 1983,PES,none
No 314,4 décembre 1983 1983,DS,non
No 314,4 décembre 1983 1983,Rep.,oui
No 314,4 décembre 1983 1983,UDF,non
No 314,4 décembre 1983 1983,PSL,none
No 314,4 décembre 1983 1983,Lega,none
No 315,4 décembre 1983 1983,PRD,oui
No 315,4 décembre 1983 1983,PDC,oui
No 315,4 décembre 1983 1983,PS,oui
No 315,4 décembre 1983 1983,UDC,oui
No 315,4 décembre 1983 1983,PLS,oui
No 315,4 décembre 1983 1983,AdI,oui
No 315,4 décembre 1983 1983,PEV,oui
No 315,4 décembre 1983 1983,PCS,none
No 315,4 décembre 1983 1983,PST,oui
No 315,4 décembre 1983 1983,POCH,oui
No 315,4 décembre 1983 1983,PES,none
No 315,4 décembre 1983 1983,DS,non
No 315,4 décembre 1983 1983,Rep.,non
No 315,4 décembre 1983 1983,UDF,non
No 315,4 décembre 1983 1983,PSL,none
No 315,4 décembre 1983 1983,Lega,none
No 316,26 février 1984 1984,PRD,oui
No 316,26 février 1984 1984,PDC,oui
No 316,26 février 1984 1984,PS,oui
No 316,26 février 1984 1984,UDC,oui
No 316,26 février 1984 1984,PLS,non
No 316,26 février 1984 1984,AdI,oui
No 316,26 février 1984 1984,PEV,oui
No 316,26 février 1984 1984,PCS,none
No 316,26 février 1984 1984,PST,oui
No 316,26 février 1984 1984,POCH,oui
No 316,26 février 1984 1984,PES,oui
No 316,26 février 1984 1984,DS,oui
No 316,26 février 1984 1984,UDF,none
No 316,26 février 1984 1984,PSL,oui
No 316,26 février 1984 1984,Lega,none
No 317,26 février 1984 1984,PRD,non
No 317,26 février 1984 1984,PDC,oui
No 317,26 février 1984 1984,PS,oui
No 317,26 février 1984 1984,UDC,oui
No 317,26 février 1984 1984,PLS,non
No 317,26 février 1984 1984,AdI,non
No 317,26 février 1984 1984,PEV,oui
No 317,26 février 1984 1984,PCS,none
No 317,26 février 1984 1984,PST,non
No 317,26 février 1984 1984,POCH,oui
No 317,26 février 1984 1984,PES,oui
No 317,26 février 1984 1984,DS,oui
No 317,26 février 1984 1984,UDF,none
No 317,26 février 1984 1984,PSL,non
No 317,26 février 1984 1984,Lega,none
No 318,26 février 1984 1984,PRD,non
No 318,26 février 1984 1984,PDC,non
No 318,26 février 1984 1984,PS,oui
No 318,26 février 1984 1984,UDC,non
No 318,26 février 1984 1984,PLS,non
No 318,26 février 1984 1984,AdI,oui
No 318,26 février 1984 1984,PEV,oui
No 318,26 février 1984 1984,PCS,none
No 318,26 février 1984 1984,PST,oui
No 318,26 février 1984 1984,POCH,oui
No 318,26 février 1984 1984,PES,oui
No 318,26 février 1984 1984,DS,non
No 318,26 février 1984 1984,UDF,none
No 318,26 février 1984 1984,PSL,non
No 318,26 février 1984 1984,Lega,none
No 319,20 mai 1984 1984,PRD,non
No 319,20 mai 1984 1984,PDC,non
No 319,20 mai 1984 1984,PS,oui
No 319,20 mai 1984 1984,UDC,non
No 319,20 mai 1984 1984,PLS,non
No 319,20 mai 1984 1984,AdI,non
No 319,20 mai 1984 1984,PEV,non
No 319,20 mai 1984 1984,PCS,none
No 319,20 mai 1984 1984,PST,oui
No 319,20 mai 1984 1984,POCH,oui
No 319,20 mai 1984 1984,PES,oui
No 319,20 mai 1984 1984,DS,oui
No 319,20 mai 1984 1984,UDF,non
No 319,20 mai 1984 1984,PSL,non
No 319,20 mai 1984 1984,Lega,none
No 320,20 mai 1984 1984,PRD,non
No 320,20 mai 1984 1984,PDC,non
No 320,20 mai 1984 1984,PS,oui
No 320,20 mai 1984 1984,UDC,non
No 320,20 mai 1984 1984,PLS,non
No 320,20 mai 1984 1984,AdI,oui
No 320,20 mai 1984 1984,PEV,oui
No 320,20 mai 1984 1984,PCS,none
No 320,20 mai 1984 1984,PST,non
No 320,20 mai 1984 1984,POCH,non
No 320,20 mai 1984 1984,PES,oui
No 320,20 mai 1984 1984,DS,oui
No 320,20 mai 1984 1984,UDF,oui
No 320,20 mai 1984 1984,PSL,oui
No 320,20 mai 1984 1984,Lega,none
No 321,23 septembre 1984 1984,PRD,non
No 321,23 septembre 1984 1984,PDC,non
No 321,23 septembre 1984 1984,PS,oui
No 321,23 septembre 1984 1984,UDC,non
No 321,23 septembre 1984 1984,PLS,non
No 321,23 septembre 1984 1984,AdI,oui
No 321,23 septembre 1984 1984,PEV,non
No 321,23 septembre 1984 1984,PCS,none
No 321,23 septembre 1984 1984,PST,oui
No 321,23 septembre 1984 1984,POCH,oui
No 321,23 septembre 1984 1984,PES,oui
No 321,23 septembre 1984 1984,DS,oui
No 321,23 septembre 1984 1984,UDF,non
No 321,23 septembre 1984 1984,PSL,none
No 321,23 septembre 1984 1984,Lega,none
No 322,23 septembre 1984 1984,PRD,non
No 322,23 septembre 1984 1984,PDC,non
No 322,23 septembre 1984 1984,PS,oui
No 322,23 septembre 1984 1984,UDC,non
No 322,23 septembre 1984 1984,PLS,non
No 322,23 septembre 1984 1984,AdI,oui
No 322,23 septembre 1984 1984,PEV,oui
No 322,23 septembre 1984 1984,PCS,none
No 322,23 septembre 1984 1984,PST,oui
No 322,23 septembre 1984 1984,POCH,oui
No 322,23 septembre 1984 1984,PES,oui
No 322,23 septembre 1984 1984,DS,oui
No 322,23 septembre 1984 1984,UDF,non
No 322,23 septembre 1984 1984,PSL,none
No 322,23 septembre 1984 1984,Lega,none
No 323,2 décembre 1984 1984,PRD,non
No 323,2 décembre 1984 1984,PDC,non
No 323,2 décembre 1984 1984,PS,oui
No 323,2 décembre 1984 1984,UDC,non
No 323,2 décembre 1984 1984,PLS,non
No 323,2 décembre 1984 1984,AdI,non
No 323,2 décembre 1984 1984,PEV,non
No 323,2 décembre 1984 1984,PCS,none
No 323,2 décembre 1984 1984,PST,oui
No 323,2 décembre 1984 1984,POCH,oui
No 323,2 décembre 1984 1984,PES,non
No 323,2 décembre 1984 1984,DS,non
No 323,2 décembre 1984 1984,UDF,non
No 323,2 décembre 1984 1984,PSL,non
No 323,2 décembre 1984 1984,Lega,none
No 324,2 décembre 1984 1984,PRD,oui
No 324,2 décembre 1984 1984,PDC,oui
No 324,2 décembre 1984 1984,PS,oui
No 324,2 décembre 1984 1984,UDC,oui
No 324,2 décembre 1984 1984,PLS,oui
